00:16:46 - [info] - init PwrShellOps Toolkit | by [Shaoli]
00:16:57 - [info] - init PwrShellOps Toolkit | by [muki]
00:17:20 - [Info] - Invoke-Expression: [Gen-Pass]  | param: 8 by [muki]
00:17:59 - [Info] - Invoke-Expression: [Report-NetAdapter]  | param:  by [muki]
00:19:22 - [Info] - Invoke-Expression: [Report-NetAdapter]  | param:  by [muki]
00:19:53 - [Info] - Invoke-Expression: [Report-NetAdapter]  | param:  by [muki]
00:22:47 - [info] - init PwrShellOps Toolkit | by [Puki]
00:42:25 - [info] - init PwrShellOps Toolkit | by [Oz]
00:42:50 - [Info] - Invoke-Expression: [Win-NotificationMsg]  | param:  by [Oz]
00:45:35 - [Info] - Invoke-Expression: [Win-NotificationMsg]  | param:  by [Oz]
00:47:23 - [Info] - Invoke-Expression: [Win-NotificationMsg1]  | param: Title msg by [Oz]
00:47:59 - [Info] - Invoke-Expression: [Win-NotificationMsg1]  | param:  by [Oz]
00:48:21 - [Info] - Invoke-Expression: [Win-NotificationMsg1]  | param:  by [Oz]
00:48:43 - [Info] - Invoke-Expression: [Win-NotificationMsg1]  | param:  by [Oz]
00:51:46 - [Error] - Invoke-Expression  Win-NotificationMsg | param: 
00:52:31 - [Error] - Invoke-Expression  Win-NotificationMsg | param: 
00:54:07 - [Info] - Invoke-Expression: [Win-NotificationMsg]  | param:  by [Oz]
00:55:17 - [Info] - Invoke-Expression: [Win-NotificationMsg]  | param:  by [Oz]
00:55:51 - [Info] - Invoke-Expression: [Win-NotificationMsg]  | param:  by [Oz]
00:56:25 - [Info] - Invoke-Expression: [Win-NotificationMsg]  | param:  by [Oz]
00:57:13 - [Info] - Invoke-Expression: [Win-NotificationMsg]  | param:  by [Oz]
00:57:49 - [Info] - Invoke-Expression: [Win-NotificationMsg]  | param:  by [Oz]
00:58:04 - [Info] - Invoke-Expression: [Win-NotificationMsg1]  | param:  by [Oz]
01:00:21 - [Info] - Invoke-Expression: [Win-NotificationMsg]  | param:  by [Oz]
01:00:44 - [info] - init PwrShellOps Toolkit | by [Oz]
01:01:11 - [Info] - Invoke-Expression: [Win-PopUpMsg]  | param:  by [Oz]
01:03:14 - [info] - init PwrShellOps Toolkit | by [o]
01:07:44 - [info] - init PwrShellOps Toolkit | by [sad]
01:07:52 - [Info] - Invoke-Expression: [ENCODED]  | param:  by [sad]
01:08:28 - [Info] - Invoke-Expression: [ENCODED]  | param:  by [sad]
01:24:53 - [info] - init PwrShellOps Toolkit | by [ok]
01:38:04 - [info] - init PwrShellOps Toolkit | by [oz]
01:38:16 - [Info] - Invoke-Expression: [Get-SIDFromUser]  | param: ozzak by [oz]
01:40:49 - [info] - init PwrShellOps Toolkit | by [oz]
01:40:59 - [Info] - Invoke-Expression: [Table-NetRoute]  | param:  by [oz]
01:41:32 - [Info] - Invoke-Expression: [Info-Dns]  | param:  by [oz]
01:43:07 - [Info] - Invoke-Expression: [Info-Dns]  | param:  by [oz]
02:03:06 - [info] - init PwrShellOps Toolkit | by [nested]
